"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1991,"GOA","TRW",330,40,5,1,"346101",NA
1991,"GOA","TRW",330,41,3,1,"346101",NA
1991,"GOA","TRW",330,42,3,1,"346101",NA
1991,"GOA","TRW",330,43,3,1,"346101",NA
1991,"GOA","TRW",330,44,1,1,"346101",NA
1991,"GOA","TRW",330,45,2,1,"346101",NA
1991,"GOA","TRW",330,46,2,1,"346101",NA
1991,"GOA","TRW",330,45,2,1,"346065",NA
1991,"GOA","TRW",330,46,2,1,"346065",NA
1991,"GOA","TRW",330,46,2,1,"346069",NA
1991,"GOA","TRW",330,41,1,1,"346070",NA
1991,"GOA","TRW",330,42,1,1,"346070",NA
1991,"GOA","TRW",330,43,4,1,"346070",NA
1991,"GOA","TRW",330,45,1,1,"346070",NA
1991,"GOA","TRW",330,46,3,1,"346070",NA
1991,"GOA","TRW",330,43,2,1,"346055",NA
1991,"GOA","TRW",330,44,4,1,"346055",NA
1991,"GOA","TRW",330,45,1,1,"346055",NA
1991,"GOA","TRW",330,46,1,1,"346055",NA
1991,"GOA","TRW",330,47,1,1,"346055",NA
1991,"GOA","TRW",330,39,2,1,"346055",NA
1991,"GOA","TRW",330,40,2,1,"346055",NA
1991,"GOA","TRW",330,41,2,1,"346055",NA
1991,"GOA","TRW",330,42,5,1,"346055",NA
1991,"GOA","TRW",330,44,2,1,"346055",NA
1991,"GOA","TRW",330,45,2,1,"346055",NA
1991,"GOA","TRW",330,46,1,1,"346055",NA
1991,"GOA","TRW",330,39,1,1,"346056",NA
1991,"GOA","TRW",330,41,3,1,"346056",NA
1991,"GOA","TRW",330,42,3,1,"346056",NA
1991,"GOA","TRW",330,45,7,1,"346059",NA
1991,"GOA","TRW",330,46,2,1,"346059",NA
1991,"GOA","TRW",330,47,3,1,"346059",NA
1991,"GOA","TRW",330,40,2,4,"346060",NA
1991,"GOA","TRW",330,41,1,4,"346060",NA
1991,"GOA","TRW",330,42,2,4,"346060",NA
1991,"GOA","TRW",330,43,3,4,"346060",NA
1991,"GOA","TRW",330,44,4,4,"346060",NA
1991,"GOA","TRW",330,45,1,4,"346060",NA
1991,"GOA","TRW",330,46,4,4,"346060",NA
1991,"GOA","TRW",330,47,2,4,"346060",NA
1991,"GOA","TRW",330,39,5,4,"346060",NA
1991,"GOA","TRW",330,40,5,4,"346060",NA
1991,"GOA","TRW",330,41,3,4,"346060",NA
1991,"GOA","TRW",330,42,4,4,"346060",NA
1991,"GOA","TRW",330,43,9,4,"346060",NA
1991,"GOA","TRW",330,44,6,4,"346060",NA
1991,"GOA","TRW",330,45,2,4,"346060",NA
1991,"GOA","TRW",330,46,1,4,"346060",NA
1991,"GOA","TRW",330,41,2,1,"346064",NA
1991,"GOA","TRW",330,42,2,1,"346064",NA
1991,"GOA","TRW",330,43,2,1,"346064",NA
1991,"GOA","TRW",330,44,5,1,"346064",NA
1991,"GOA","TRW",330,45,6,1,"346064",NA
1991,"GOA","TRW",330,46,8,1,"346064",NA
1991,"GOA","TRW",330,47,3,1,"346064",NA
1991,"GOA","TRW",330,42,2,1,"346064",NA
1991,"GOA","TRW",330,43,6,1,"346064",NA
1991,"GOA","TRW",330,44,5,1,"346064",NA
1991,"GOA","TRW",330,45,1,1,"346064",NA
1991,"GOA","TRW",330,44,5,1,"346040",NA
1991,"GOA","TRW",330,45,5,1,"346040",NA
1991,"GOA","TRW",330,46,2,1,"346040",NA
1991,"GOA","TRW",330,48,1,1,"346040",NA
1991,"GOA","TRW",330,41,7,1,"346041",NA
1991,"GOA","TRW",330,42,8,1,"346041",NA
1991,"GOA","TRW",330,43,8,1,"346041",NA
1991,"GOA","TRW",330,44,5,1,"346041",NA
1991,"GOA","TRW",330,45,2,1,"346041",NA
1991,"GOA","TRW",330,46,2,1,"346041",NA
1991,"GOA","TRW",330,37,1,1,"346041",NA
1991,"GOA","TRW",330,38,2,1,"346041",NA
1991,"GOA","TRW",330,39,3,1,"346041",NA
1991,"GOA","TRW",330,40,10,1,"346041",NA
1991,"GOA","TRW",330,41,6,1,"346041",NA
1991,"GOA","TRW",330,42,9,1,"346041",NA
1991,"GOA","TRW",330,43,2,1,"346041",NA
1991,"GOA","TRW",330,44,2,1,"346041",NA
1991,"GOA","TRW",330,45,3,1,"346041",NA
1991,"GOA","TRW",330,46,2,1,"346041",NA
1991,"GOA","TRW",330,47,1,1,"346041",NA
1991,"GOA","TRW",330,40,1,1,"346047",NA
1991,"GOA","TRW",330,41,2,1,"346047",NA
1991,"GOA","TRW",330,43,1,1,"346056",NA
1991,"GOA","TRW",330,44,1,1,"346056",NA
1991,"GOA","TRW",330,46,1,1,"346056",NA
1991,"GOA","TRW",330,39,2,1,"346056",NA
1991,"GOA","TRW",330,40,2,1,"346056",NA
1991,"GOA","TRW",330,41,2,1,"346056",NA
1991,"GOA","TRW",330,42,3,1,"346056",NA
1991,"GOA","TRW",330,43,2,1,"346056",NA
1991,"GOA","TRW",330,44,5,1,"346056",NA
1991,"GOA","TRW",330,45,3,1,"346056",NA
1991,"GOA","TRW",330,48,1,1,"346056",NA
1991,"GOA","TRW",330,40,1,1,"346059",NA
1991,"GOA","TRW",330,41,2,1,"346059",NA
1991,"GOA","TRW",330,42,3,1,"346059",NA
1991,"GOA","TRW",330,43,1,1,"346059",NA
1991,"GOA","TRW",330,45,2,1,"346059",NA
1991,"GOA","TRW",330,46,7,1,"346059",NA
1991,"GOA","TRW",330,47,2,1,"346059",NA
1991,"GOA","TRW",330,48,2,1,"346059",NA
1991,"GOA","TRW",330,38,1,1,"346059",NA
1991,"GOA","TRW",330,39,3,1,"346059",NA
1991,"GOA","TRW",330,40,2,1,"346059",NA
1991,"GOA","TRW",330,41,4,1,"346059",NA
1991,"GOA","TRW",330,42,2,1,"346059",NA
1991,"GOA","TRW",330,43,3,1,"346059",NA
1991,"GOA","TRW",330,44,6,1,"346059",NA
